open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-05-05 10:45:00,80822.42,80826.45,80810.37,80810.37,16.47869,2026-05-05 10:49:59.999,1331849.71772600,2155,7.33295000,592663.53706390,0
2026-05-05 10:50:00,80810.38,80810.38,80724.94,80724.94,30.67222,2026-05-05 10:54:59.999,2477553.64066900,3455,8.95605000,723505.30331840,0
2026-05-05 10:55:00,80724.94,80829.24,80708.82,80823.61,81.33454,2026-05-05 10:59:59.999,6568643.55088700,7285,39.55781000,3195153.37694180,0
2026-05-05 11:00:00,80823.61,80839.76,80780.0,80835.45,61.38834,2026-05-05 11:04:59.999,4961341.84614910,7423,34.92522000,2822534.39810580,0
2026-05-05 11:05:00,80835.45,80839.51,80833.2,80839.51,24.61286,2026-05-05 11:09:59.999,1989634.29986320,1810,21.85924000,1767042.57748300,0
2026-05-05 11:10:00,80839.51,80978.99,80820.01,80942.73,76.86602,2026-05-05 11:14:59.999,6216452.57795100,9171,55.13867000,4459053.27570780,0
2026-05-05 11:15:00,80942.73,80960.0,80832.9,80848.05,58.28369,2026-05-05 11:19:59.999,4715407.17047640,8917,16.44517000,1330367.24669910,0
2026-05-05 11:20:00,80848.06,80866.69,80818.72,80865.27,36.83782,2026-05-05 11:24:59.999,2978091.07956080,5354,13.65264000,1103659.79868110,0
2026-05-05 11:25:00,80865.28,80967.52,80862.64,80949.23,71.34123,2026-05-05 11:29:59.999,5773595.88489150,5731,42.52883000,3441790.67689040,0
2026-05-05 11:30:00,80949.23,81000.0,80936.38,80999.99,33.24274,2026-05-05 11:34:59.999,2691230.88232950,5220,19.26609000,1559808.15137460,0
2026-05-05 11:35:00,81000.0,81095.48,80988.65,81020.74,88.64019,2026-05-05 11:39:59.999,7183134.88269790,8435,44.55954000,3610697.20657790,0
2026-05-05 11:40:00,81020.75,81047.2,81017.54,81039.01,25.03769,2026-05-05 11:44:59.999,2028894.33489450,3851,11.43823000,926867.59218980,0
2026-05-05 11:45:00,81039.0,81055.79,80989.06,80998.65,37.81295,2026-05-05 11:49:59.999,3063604.58330940,4357,12.52815000,1014892.24061960,0
2026-05-05 11:50:00,80999.13,81002.62,80874.0,80930.0,57.23609,2026-05-05 11:54:59.999,4632056.92011310,9879,11.75488000,951056.28096210,0
2026-05-05 11:55:00,80929.99,81020.01,80926.89,81014.05,52.36291,2026-05-05 11:59:59.999,4240838.14635380,5165,41.14579000,3332483.76123050,0
2026-05-05 12:00:00,81014.05,81014.05,80932.54,81003.04,36.71352,2026-05-05 12:04:59.999,2973197.37460350,6715,19.25989000,1559796.44694510,0
2026-05-05 12:05:00,81003.03,81065.94,80982.84,81022.33,28.32992,2026-05-05 12:09:59.999,2295731.56222630,9765,11.71227000,949081.91320470,0
2026-05-05 12:10:00,81022.32,81134.06,81022.32,81105.01,49.95569,2026-05-05 12:14:59.999,4051030.30090480,8775,33.61426000,2725811.18829360,0
2026-05-05 12:15:00,81105.02,81134.06,81078.46,81083.2,47.73318,2026-05-05 12:19:59.999,3871683.37242700,8643,17.72043000,1437382.51413190,0
2026-05-05 12:20:00,81083.2,81129.93,81063.6,81099.4,14.68111,2026-05-05 12:24:59.999,1190610.12171290,7238,8.00363000,649060.20267620,0
2026-05-05 12:25:00,81099.41,81245.73,81099.4,81222.9,76.97876,2026-05-05 12:29:59.999,6250249.65700890,11325,53.85246000,4372166.35734970,0
2026-05-05 12:30:00,81222.91,81288.88,81212.47,81239.01,73.75978,2026-05-05 12:34:59.999,5992756.13304600,10383,34.49821000,2802903.73026750,0
2026-05-05 12:35:00,81239.0,81269.33,81173.2,81269.32,51.99148,2026-05-05 12:39:59.999,4223404.80943370,8607,28.07434000,2280436.49893530,0
2026-05-05 12:40:00,81269.31,81307.68,81269.31,81307.68,40.54604,2026-05-05 12:44:59.999,3296012.31584190,6851,22.70567000,1845831.93413370,0
2026-05-05 12:45:00,81307.68,81312.39,81192.29,81238.54,54.21752,2026-05-05 12:49:59.999,4405440.19416540,9365,14.99613000,1218378.12840980,0
2026-05-05 12:50:00,81238.54,81329.61,81222.4,81318.96,94.46191,2026-05-05 12:54:59.999,7679862.83500690,6571,61.85641000,5029362.41186470,0
2026-05-05 12:55:00,81318.96,81318.97,81252.71,81279.41,38.45166,2026-05-05 12:59:59.999,3125324.46649680,6051,19.75664000,1605856.86306710,0
2026-05-05 13:00:00,81279.4,81485.71,81270.0,81473.47,173.07678,2026-05-05 13:04:59.999,14090376.39347020,20910,99.29913000,8083636.91563100,0
2026-05-05 13:05:00,81473.48,81666.0,81443.2,81587.72,280.15311,2026-05-05 13:09:59.999,22849073.50454500,30550,180.58401000,14728448.24783400,0
2026-05-05 13:10:00,81587.72,81660.91,81578.88,81622.0,133.00421,2026-05-05 13:14:59.999,10855513.21097390,14047,74.15373000,6052477.26255250,0
2026-05-05 13:15:00,81621.99,81637.57,81478.24,81551.04,94.84027,2026-05-05 13:19:59.999,7733973.92092550,16248,26.96412000,2198784.54881380,0
2026-05-05 13:20:00,81551.04,81712.32,81536.02,81550.02,148.0013,2026-05-05 13:24:59.999,12082420.78708050,15595,89.69203000,7322761.12985090,0
2026-05-05 13:25:00,81550.01,81550.01,81418.81,81460.27,110.93868,2026-05-05 13:29:59.999,9038984.96865730,13023,52.89697000,4309735.60766680,0
2026-05-05 13:30:00,81460.28,81538.44,81370.2,81478.31,137.846,2026-05-05 13:34:59.999,11226620.06337440,23015,72.91211000,5938365.51938560,0
2026-05-05 13:35:00,81478.32,81490.13,81355.62,81355.62,127.1282,2026-05-05 13:39:59.999,10351987.42873100,17540,85.73331000,6981107.44634380,0
2026-05-05 13:40:00,81355.62,81428.58,81215.25,81414.1,147.69072,2026-05-05 13:44:59.999,12013597.25334460,21383,73.90026000,6011569.89627810,0
2026-05-05 13:45:00,81414.11,81640.0,81410.35,81634.11,157.62283,2026-05-05 13:49:59.999,12852303.61914950,23418,108.06700000,8811408.80994140,0
2026-05-05 13:50:00,81634.12,81671.5,81375.5,81375.51,134.56841,2026-05-05 13:54:59.999,10978792.52084340,16341,73.76732000,6019871.44101750,0
2026-05-05 13:55:00,81375.51,81399.01,81196.0,81330.0,126.54639,2026-05-05 13:59:59.999,10287709.27496010,17775,59.49094000,4836832.07644680,0
2026-05-05 14:00:00,81330.0,81434.46,81195.0,81429.26,93.35536,2026-05-05 14:04:59.999,7589584.32175850,18991,54.65997000,4444565.16054800,0
2026-05-05 14:05:00,81429.26,81432.9,81236.38,81268.0,66.94407,2026-05-05 14:09:59.999,5443799.58544390,14304,33.71303000,2741094.33207110,0
2026-05-05 14:10:00,81268.0,81354.42,81090.0,81104.08,146.87631,2026-05-05 14:14:59.999,11932931.23206600,26238,75.21968000,6113663.38606340,0
2026-05-05 14:15:00,81104.08,81209.99,80953.61,81042.0,298.51675,2026-05-05 14:19:59.999,24197460.80254090,35017,102.28212000,8290804.09435730,0
