open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,f1_rsi,f2_wt,f3_cci,f4_adx,f5_rsi_short,kernel_reg,kernel_slope,target,returns,signal,strategy_returns,strategy_returns_net,cum_returns_bh,cum_returns_strategy_gross,cum_returns_strategy_net
2026-05-19 08:20:00,77135.52,77152.0,77038.02,77047.14,18.99274,2026-05-19 08:24:59.999,1464244.0360336,7420,3.52162,271506.1775563,0,45.14706966602049,-4.030409109753945,-64.81447090465934,19.58458801768576,37.74730581409198,77153.55252980096,-9.620057105785236,1,,-1,,,0.0,0.0,0.0
2026-05-19 08:25:00,77047.14,77088.0,76972.96,77077.25,29.13459,2026-05-19 08:29:59.999,2244030.5070566,11034,15.34399,1181866.3163539,0,48.12038212754455,-18.836363625830266,-97.60772567692139,19.088061239858742,42.87569414308634,77146.3478567082,-7.204673092754092,1,0.00039079971041111605,-1,-0.00039079971041111605,-0.00039079971041111605,0.00039079971041111605,-0.00039079971041111605,-0.00039079971041111605
2026-05-19 08:30:00,77077.25,77098.79,77017.81,77091.08,75.02235,2026-05-19 08:34:59.999,5780688.8312701,9623,44.79439,3451406.2797688,0,49.47508003505403,-25.10091678282439,-73.45941542992169,18.479347607120914,45.20809451804571,77140.24229279495,-6.105563913253718,1,0.00017943037666756645,-1,-0.00017943037666756645,-0.00017943037666756645,0.0005703002084178621,-0.0005701599657393919,-0.0005701599657393919
2026-05-19 08:35:00,77091.08,77145.23,77091.08,77137.99,12.27776,2026-05-19 08:39:59.999,946857.0361778,5985,6.66311,513832.7116298,0,53.87467842660081,-19.53074428490234,-21.77681543123533,17.294962120453697,52.5941104834038,77138.53994109978,-1.702351695174002,1,0.00060850100945542,1,-0.00060850100945542,-0.00160850100945542,0.0011791482461258607,-0.0011783140322800811,-0.002177743872314397
2026-05-19 08:40:00,77138.0,77317.02,77138.0,77186.0,126.54545,2026-05-19 08:44:59.999,9775794.6041521,11310,86.434,6677489.551687,0,57.91389458817001,-0.055393390113724905,69.24778629026375,17.656217965490207,58.96331131485612,77141.40864808694,2.868706987166661,-1,0.0006223911201210797,1,0.0006223911201210797,0.0006223911201210797,0.0018022732576445932,-0.0005566562843494216,-0.0015567081606413513
2026-05-19 08:45:00,77186.01,77212.71,77155.0,77155.01,18.40837,2026-05-19 08:49:59.999,1420956.4569791,5751,4.2809,330459.1282945,0,54.590735102767106,7.01171515334089,17.226452279846285,17.991669821595398,53.72192025416132,77141.67823339564,0.26958530869160313,-1,-0.0004014976809266768,-1,-0.0004014976809266768,-0.0014014976809266768,0.0014000519681844903,-0.0009579304690688906,-0.002956024118691003
2026-05-19 08:50:00,77155.01,77163.67,77111.21,77124.84,17.81202,2026-05-19 08:54:59.999,1374075.3217563,4925,3.93293,303368.0344377,0,51.49292768551923,3.714989945235409,-38.17728694217245,17.728702838558057,48.95569888081109,77139.48804955723,-2.1901838384073926,-1,-0.00039103099072890224,1,0.00039103099072890224,-0.0006089690092710978,0.0010084735137474432,-0.0005672740588403835,-0.003563193000883147
2026-05-19 08:55:00,77124.85,77124.85,77042.0,77048.71,12.03132,2026-05-19 08:59:59.999,927325.9294758,4300,2.33441,179893.3711909,0,44.613298777846,-11.098240302019121,-104.78058406823871,16.662937573307897,39.106431780471915,77130.57973700076,-8.908312556464807,1,-0.0009871009132724762,1,-0.0009871009132724762,-0.0009871009132724762,2.0377135348637054e-05,-0.0015538150153713293,-0.004546776683090337
2026-05-19 09:00:00,77048.72,77060.47,77001.96,77060.47,31.74555,2026-05-19 09:04:59.999,2445495.0223772,7065,15.94834,1228508.9247895,0,45.81753683408354,-25.380691514034094,-125.43876556669126,15.705364465770556,41.16351286045381,77123.09151393267,-7.4882230680959765,-1,0.00015263071893079072,-1,0.00015263071893079072,-0.0008473692810692093,0.00017301096445621056,-0.0014014214563433658,-0.005390293165270399
2026-05-19 09:05:00,77060.48,77074.05,77016.0,77042.11,10.35904,2026-05-19 09:09:59.999,798157.4497728,5395,5.06328,390090.9470426,0,44.201705904213924,-33.47497825677766,-108.62342494274638,14.660621485524224,38.85794608399242,77114.36113327448,-8.73038065819128,-1,-0.0002382544513419571,-1,0.0002382544513419571,0.0002382544513419571,-6.528470751820947e-05,-0.0011635008999015817,-0.005153322975269159
2026-05-19 09:10:00,77042.11,77058.44,77008.6,77034.56,13.04225,2026-05-19 09:14:59.999,1004728.0750634,3685,5.37175,413834.3936914,0,43.52198314152338,-39.6545827465791,-105.68107038110448,13.776893038285516,37.87650998534249,77105.15725101724,-9.203882257235819,-1,-9.799835440649218e-05,-1,9.799835440649218e-05,9.799835440649218e-05,-0.0001632766641308514,-0.0010656165666685924,-0.005055829638033971
2026-05-19 09:15:00,77034.55,77034.55,76928.07,76940.46,52.3606,2026-05-19 09:19:59.999,4029252.9199675,9354,32.74392,2519474.6284457,0,36.07576595726579,-51.33248560179746,-151.20571136642934,13.831021110991454,27.97085625829847,77087.7616629286,-17.395588088635122,-1,-0.0012215296614920268,1,0.0012215296614920268,0.00022152966149202678,-0.0013846068783346377,0.00015461141257966382,-0.004835419992770262
2026-05-19 09:20:00,76940.47,76962.65,76902.97,76902.98,22.72265,2026-05-19 09:24:59.999,1747972.4078618,6682,6.91896,532259.1378767,0,33.60926821917353,-61.312736437096824,-168.27535338156468,14.127730042135134,25.03688435022181,77067.50173215359,-20.25993077502062,-1,-0.00048712991838117947,1,-0.00048712991838117947,-0.00048712991838117947,-0.0018710623132801585,-0.0003325938216462987,-0.005320194433405034
2026-05-19 09:25:00,76902.98,76909.44,76740.0,76773.32,67.7545,2026-05-19 09:29:59.999,5202849.9510529,18428,19.72893,1514658.3229222,0,26.78635434985597,-74.04364745549057,-232.67477117934686,15.692869572502367,17.7789236503518,77036.41561953958,-31.086112614008016,-1,-0.0016860204897130027,1,-0.0016860204897130027,-0.0016860204897130027,-0.0035539281535954537,-0.0020180535513611986,-0.006997244966294058
2026-05-19 09:30:00,76773.33,76850.0,76709.29,76753.28,48.76403,2026-05-19 09:34:59.999,3744261.791688,15796,21.72776,1668600.2945952,0,25.910829392625374,-80.6110773044179,-220.79513039808222,17.341582683271184,16.92577049908182,77004.68281954862,-31.73279999096121,1,-0.0002610281801022074,1,-0.0002610281801022074,-0.0002610281801022074,-0.0038140286582994953,-0.0022785549626175294,-0.007256446668276961
2026-05-19 09:35:00,76753.29,76814.79,76749.73,76811.32,34.32927,2026-05-19 09:39:59.999,2635811.5394889,8685,19.54333,1500556.1510993,0,32.765140209412664,-80.32943600699966,-173.20487826706636,18.872530571841956,28.15836209088195,76979.734750477,-24.948069071615464,-1,0.0007561891817522426,1,0.0007561891817522426,0.0007561891817522426,-0.0030607236037575314,-0.0015240887994780739,-0.006505744732993257
2026-05-19 09:40:00,76811.32,76811.33,76783.81,76796.96,24.47138,2026-05-19 09:44:59.999,1879205.8159325,4355,9.42373,723660.2115302,0,31.976902561020623,-77.40411825678507,-139.3469683235108,20.294125039800406,27.13705596808242,76955.22683226362,-24.507918213377707,1,-0.00018695161077819655,1,-0.00018695161077819655,-0.00018695161077819655,-0.0032471030073278895,-0.00171075547940025,-0.006691480084314305
2026-05-19 09:45:00,76796.96,76817.85,76756.37,76817.85,28.52802,2026-05-19 09:49:59.999,2190426.0085202,5692,10.35972,795380.6115335,0,34.44750602553779,-73.4375710212542,-117.2200683726378,21.81337603654772,31.219767614013236,76934.49985425547,-20.72697800815513,-1,0.0002720159756324225,-1,0.0002720159756324225,-0.0007279840243675775,-0.0029759702955879375,-0.0014392048565886606,-0.0074145928180811005
2026-05-19 09:50:00,76817.85,76840.0,76785.05,76809.62,34.48952,2026-05-19 09:54:59.999,2649310.7065428,6331,16.66358,1279954.9157241,0,33.924737754996485,-67.85321626575569,-94.7976526705656,22.838969300034314,30.46322773184113,76915.1400301425,-19.359824112965725,1,-0.00010713655745386852,-1,0.00010713655745386852,0.00010713655745386852,-0.003082788017829241,-0.0013322224905886193,-0.00730825063457663
2026-05-19 09:55:00,76809.63,76839.75,76801.48,76818.8,16.52046,2026-05-19 09:59:59.999,1269081.5826984,4076,8.97936,689785.1907544,0,35.10770333844354,-61.762273423992674,-80.19846099717435,23.79130590184311,32.515346774487355,76898.81149625724,-16.328533885258366,-1,0.00011951627934125852,-1,-0.00011951627934125852,-0.00011951627934125852,-0.00296364018184192,-0.0014515795476545135,-0.0074268934589935
2026-05-19 10:00:00,76818.8,76835.79,76791.39,76795.79,11.49525,2026-05-19 10:04:59.999,882969.0541989,5778,3.548,272511.0511176,0,33.48926040218258,-57.56349608782555,-77.31126372237688,24.765550527392083,30.017376771194506,76882.41159748302,-16.399898774223402,1,-0.0002995360510709144,-1,0.0002995360510709144,0.0002995360510709144,-0.003262288515835987,-0.0011524782969891678,-0.007129582030261039
2026-05-19 10:05:00,76795.78,76872.46,76776.0,76810.92,45.04402,2026-05-19 10:09:59.999,3461111.4460166,8833,31.35083,2409015.4230544,0,35.5917950433638,-52.08878904526782,-64.17579999074617,24.96666115663837,33.78059115449301,76869.45556384462,-12.956033638402005,-1,0.00019701600829957755,-1,-0.00019701600829957755,-0.00019701600829957755,-0.0030659152305977377,-0.0013492672486150603,-0.0073251933967681815
